id,received_at,source,action,symbol,price,timeframe,exchange,alert_timestamp,raw_payload
1,2026-06-08T18:01:09.198985+00:00,Greedy Futures Indicator,BUY,MNQ1!,22500.25,15,CME_MINI,2026-06-08T09:45:00Z,"{
    ""secret"":  ""greedy_mnq_2026_9xQ72"",
    ""action"":  ""BUY"",
    ""timestamp"":  ""2026-06-08T09:45:00Z"",
    ""source"":  ""Greedy Futures Indicator"",
    ""price"":  ""22500.25"",
    ""symbol"":  ""MNQ1!"",
    ""exchange"":  ""CME_MINI"",
    ""timeframe"":  ""15""
}"
2,2026-06-08T19:25:30.866773+00:00,Greedy Futures Indicator,EXIT,MNQ1!,22540.25,15,CME_MINI,2026-06-08T10:15:00Z,"{
    ""secret"":  ""greedy_mnq_2026_9xQ72"",
    ""action"":  ""EXIT"",
    ""timestamp"":  ""2026-06-08T10:15:00Z"",
    ""source"":  ""Greedy Futures Indicator"",
    ""price"":  ""22540.25"",
    ""symbol"":  ""MNQ1!"",
    ""exchange"":  ""CME_MINI"",
    ""timeframe"":  ""15""
}"
3,2026-06-08T19:51:48.489999+00:00,Greedy Futures Indicator,BUY,MNQ1!,22650.25,15,CME_MINI,2026-06-08T20:00:00Z,"{
    ""secret"":  ""greedy_mnq_2026_9xQ72"",
    ""action"":  ""BUY"",
    ""timestamp"":  ""2026-06-08T20:00:00Z"",
    ""source"":  ""Greedy Futures Indicator"",
    ""price"":  ""22650.25"",
    ""symbol"":  ""MNQ1!"",
    ""exchange"":  ""CME_MINI"",
    ""timeframe"":  ""15""
}"
4,2026-06-15T13:30:37.962503+00:00,Greedy Futures Indicator,LONG,MNQ1!,30649.25,15,CME_MINI,2026-06-15T13:30:35Z,"{""secret"": ""greedy_mnq_2026_9xQ72"", ""source"": ""Greedy Futures Indicator"", ""action"": ""LONG"", ""symbol"": ""MNQ1!"", ""price"": ""30649.25"", ""timeframe"": ""15"", ""exchange"": ""CME_MINI"", ""timestamp"": ""2026-06-15T13:30:35Z""}"
5,2026-06-15T13:45:02.432749+00:00,Greedy Futures Indicator,CLOSE_ALL,MNQ1!,30703.25,15,CME_MINI,2026-06-15T13:45:00Z,"{""secret"": ""greedy_mnq_2026_9xQ72"", ""source"": ""Greedy Futures Indicator"", ""action"": ""CLOSE_ALL"", ""symbol"": ""MNQ1!"", ""price"": ""30703.25"", ""timeframe"": ""15"", ""exchange"": ""CME_MINI"", ""timestamp"": ""2026-06-15T13:45:00Z""}"
6,2026-06-15T13:45:06.289366+00:00,Greedy Futures Indicator,LONG_ADD,MNQ1!,30705.25,15,CME_MINI,2026-06-15T13:45:00Z,"{""secret"": ""greedy_mnq_2026_9xQ72"", ""source"": ""Greedy Futures Indicator"", ""action"": ""LONG_ADD"", ""symbol"": ""MNQ1!"", ""price"": ""30705.25"", ""timeframe"": ""15"", ""exchange"": ""CME_MINI"", ""timestamp"": ""2026-06-15T13:45:00Z""}"
7,2026-06-15T14:14:06.488216+00:00,Greedy Futures Indicator,SHORT,MNQ1!,30693.00,15,CME_MINI,2026-06-15T14:14:05Z,"{""secret"": ""greedy_mnq_2026_9xQ72"", ""source"": ""Greedy Futures Indicator"", ""action"": ""SHORT"", ""symbol"": ""MNQ1!"", ""price"": ""30693.00"", ""timeframe"": ""15"", ""exchange"": ""CME_MINI"", ""timestamp"": ""2026-06-15T14:14:05Z""}"
8,2026-06-17T14:00:04.322734+00:00,Greedy Futures Indicator,SHORT,MNQ1!,30347.75,15,CME_MINI,2026-06-17T14:00:00Z,"{""secret"": ""greedy_mnq_2026_9xQ72"", ""source"": ""Greedy Futures Indicator"", ""action"": ""SHORT"", ""symbol"": ""MNQ1!"", ""price"": ""30347.75"", ""timeframe"": ""15"", ""exchange"": ""CME_MINI"", ""timestamp"": ""2026-06-17T14:00:00Z""}"
9,2026-06-17T14:14:59.809949+00:00,Greedy Futures Indicator,CLOSE_ALL,MNQ1!,30444.00,15,CME_MINI,2026-06-17T14:15:00Z,"{""secret"": ""greedy_mnq_2026_9xQ72"", ""source"": ""Greedy Futures Indicator"", ""action"": ""CLOSE_ALL"", ""symbol"": ""MNQ1!"", ""price"": ""30444.00"", ""timeframe"": ""15"", ""exchange"": ""CME_MINI"", ""timestamp"": ""2026-06-17T14:15:00Z""}"
10,2026-06-18T13:45:00.558602+00:00,Greedy Futures Indicator,SHORT,MNQ1!,30402.00,15,CME_MINI,2026-06-18T13:45:00Z,"{""secret"": ""greedy_mnq_2026_9xQ72"", ""source"": ""Greedy Futures Indicator"", ""action"": ""SHORT"", ""symbol"": ""MNQ1!"", ""price"": ""30402.00"", ""timeframe"": ""15"", ""exchange"": ""CME_MINI"", ""timestamp"": ""2026-06-18T13:45:00Z""}"
